1,https://www.sciencedirect.com/science/article/pii/S2211973623001307
2,https://www.imrpress.com/journal/FBS/12/1/10.2741/S542
3,https://journals.sagepub.com/doi/10.1177/15347354221148710
4,https://www.tandfonline.com/doi/full/10.1080/02841860802415535
5,https://journals.lww.com/md-journal/fulltext/2019/05100/brain_education_based_meditation_for_patients_with.84.aspx
6,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4679419/
7,https://onlinelibrary.wiley.com/doi/10.1002/jclp.20776
8,https://journals.sagepub.com/doi/10.1177/1745691611419671
9,https://www.pnas.org/doi/full/10.1073/pnas.0707678104
10,https://academic.oup.com/scan/article/3/1/55/1611013?login=true
